id,elo_overall,match_number
gorka fraile-sp-78,1634,0
daniele bracciali-it-78,1634,0
santiago gonzalez-me-83,1633,0
jaak poldma-es-88,1633,0
alberto brizzi-it-84,1633,0
thiago alves-br-82,1633,0
boris pashanski-se-82,1633,0
dusan vemic-se-76,1632,0
maxime authom-be-87,1632,0
hiroki kondo-ja-82,1632,0
giancarlo petrazzuolo-it-80,1632,0
benoit paire-fr-89,1632,0
robert smeets-au-85,1631,0
wesley moodie-so-79,1631,0
ricardas berankis-li-90,1631,0
agustin picco-ar-89,1630,0
mariano zabaleta-ar-78,1630,0
scoville jenkins-un-86,1630,0
jose antonio sanchez de luna-sp-84,1630,0
federico luzzi-it-80,1630,0
ryler deheart-un-84,1629,0
rafael arevalo-el-86,1629,0
mislav hizak-cr-84,1629,0
brendan evans-un-86,1628,0
giovanni lapentti-ec-83,1628,0
walter trusendi-it-85,1628,0
marc lopez-sp-82,1628,0
dylan seong kwan kim-so-85,1628,0
romain jouan-fr-85,1627,0
raven klaasen-so-82,1627,0
greg ouellette-un-86,1627,0
lukas dlouhy-cz-83,1627,0
gyorgy balazs-hu-85,1627,0
deniss pavlovs-la-83,1626,0
gouichi motomura-ja-73,1626,0
diego veronelli-ar-79,1626,0
filip krajinovic-se-92,1626,0
hans podlipnik castillo-ch-88,1626,0
dennis bloemke-ge-89,1626,0
pierre metenier-fr-83,1625,0
aleksander slovic-se-82,1625,0
stian boretti-no-81,1625,0
alexandros jakupovic-gr-81,1625,0
cecil mamiit-ph-76,1624,0
thomas oger-mo-80,1624,0
rohan bopanna-in-80,1624,0
daniel garza-me-85,1624,0
juan manuel valverde-ar-85,1624,0
ivo klec-sl-80,1623,0
nathan healey-au-80,1623,0
junn mitsuhashi-ja-89,1623,0
vasilis mazarakis-gr-80,1623,0
martin pedersen-de-87,1623,0
satoshi iwabuchi-ja-75,1623,0
murad inoyatov-uz-84,1623,0
claudio grassi-it-85,1622,0
ilya belyaev-ru-90,1622,0
bruno rodriguez-me-86,1622,0
franco skugor,1622,0
mariano puerta-ar-78,1622,0
andrei gorban-mo-83,1622,0
matwe middelkoop-ne-83,1622,0
artem smirnov-uk-88,1621,0
marcelo arevalo-el-90,1621,0
hiroki moriya-ja-90,1621,0
laurent rochette-fr-88,1621,0
alex kuznetsov-un-87,1620,0
konstantin kravchuk-ru-85,1620,0
adam el mihdawy-un-89,1620,0
diego junqueira-ar-80,1619,0
luka gregorc-sl-84,1619,0
federico delbonis-ar-90,1618,0
cristobal saavedra corvalan-ch-90,1618,0
ivan endara-ec-88,1618,0
alexander domijan-un-91,1617,0
tim smyczek-un-87,1616,0
samuel groth-au-87,1616,0
oliver marach-au-80,1616,0
yong kyu lim-so-91,1616,0
carlos avellan-ec-82,1615,0
philip bester-ca-88,1615,0
gianluca naso-it-87,1615,0
eric gomes-br-84,1615,0
nicolas todero-ar-79,1614,0
julio cesar campozano-ec-86,1614,0
jiri skoloudik-cz-87,1614,0
david marrero-sp-80,1614,0
bassam beidas-le-88,1614,0
gregoire burquier-fr-84,1614,0
riccardo ghedin-it-85,1614,0
predrag rusevski-no-83,1613,0
julien jeanpierre-fr-80,1613,0
bruno echagaray-me-83,1613,0
ivaylo traykov-bu-78,1613,0
nick van der meer-ne-85,1613,0
chu huan yi-ch-87,1612,0
andrej martin-sl-89,1612,0
sergio roitman-ar-79,1612,0
flavio saretta-br-80,1612,0
giulio di meo-it-82,1612,0
stephen bass-un-85,1612,0
victor romero-me-79,1612,0
aisam ul haq qureshi-pa-80,1611,0
denys molchanov-uk-87,1611,0
yuichi ito-ja-86,1611,0
peter wessels-ne-78,1610,0
leonardo azzaro-it-78,1610,0
andres molteni-ar-88,1610,0
blazej koniusz-po-88,1610,0
jurgen zopp-es-88,1610,0
mauricio echazu-pe-89,1610,0
andrew coelho-au-87,1610,0
cesar ramirez-me-90,1609,0
pedro sousa-po-88,1608,0
yohny romero-ve-78,1608,0
dawid olejniczak-po-83,1608,0
agustin boje ordonez-sp-88,1608,0
jhonson garcia-do-80,1608,0
stefan wauters-be-82,1608,0
yannick vandenbulcke-be-90,1607,0
jaroslav pospisil-cz-81,1606,0
kaden hensel-au-86,1606,0
andis juska-la-85,1606,0
max mirnyi-be-77,1606,0
prakash amritraj-in-83,1605,0
andrew anderson-so-83,1605,0
blake strode-un-87,1605,0
jhonnatan medina alvarez-ve-82,1605,0
nils langer-ge-90,1604,0
miguel angel lopez jaen-sp-82,1604,0
jan lennard struff-ge-90,1604,0
valentin sanon-iv-80,1604,0
farrukh dustov-uz-86,1604,0
zack fleishman-un-80,1604,0
david diaz ventura-sp-86,1604,0
andre ghem-br-82,1603,0
mounir el aarej-mo-77,1603,0
andoni vivanco guzman-sp-90,1603,0
matt bocko-un-83,1603,0
olivier patience-fr-80,1602,0
jack sock-un-92,1602,0
sebastian decoud-ar-81,1602,0
marko tkalec-sl-77,1601,0
carlos oliveira-br-76,1601,0
tony holzinger-ge-83,1601,0
joao sousa-po-89,1601,0
francesco piccari-it-79,1600,0
adam vejmelka-cz-85,1600,0
daniel smethurst-gr-90,1600,0
vishnu vardhan-in-87,1600,0
alex bogomolov jr-ru-83,1600,0
adrian cruciat-ro-83,1600,0
matthias bachinger-ge-87,1599,0
bernard tomic-au-92,1599,0
bryan koniecko-un-87,1598,0
todd reid-au-84,1598,0
bogdan leonte-ro-86,1598,0
boy westerhof-ne-85,1597,0
alessio di mauro-it-77,1597,0
ignacio coll riudavets-sp-87,1597,0
marin bradaric-cr-85,1597,0
bjorn rehnquist-sw-78,1596,0
kevin deden-ge-84,1596,0
rafael camilo-br-90,1596,0
clinton thomson-ge-84,1596,0
sinisa markovic-bo-87,1595,0
radim zitko-cz-78,1595,0
tomas zib-cz-76,1595,0
min hyoek cho-so-87,1595,0
dusan lajovic-se-90,1594,0
marcin gawron-po-88,1594,0
david novak-cz-83,1594,0
denis matsukevitch-ru-86,1594,0
stefano ianni-it-81,1594,0
vincent spadea-un-74,1594,0
nicholas monroe-un-82,1594,0
adam feeney-au-85,1593,0
kittipong wachiramanowong-th-90,1592,0
gastao elias-po-90,1590,0
marco trungelliti-ar-90,1590,0
tomas cakl-cz-81,1590,0
michael venus-ne-87,1590,0
simon stadler-ge-83,1589,0
jae sung an-so-85,1589,0
juho paukku-fi-86,1588,0
sebastian rieschick-ge-86,1588,0
stefan seifert-ge-85,1588,0
antonio comporto-it-89,1587,0
raphael durek-au-84,1587,0
damian patriarca-ar-83,1587,0
pablo figueroa-sw-85,1586,0
melle van gemerden-ne-79,1586,0
daniel lustig-cz-84,1586,0
jean andersen-so-88,1585,0
martin sayer-ho-87,1585,0
rohan gajjar-in-84,1584,0
georgi rumenov payakov-sp-89,1584,0
ricardo chile fonte-cu-82,1583,0
pablo carreno busta-sp-91,1583,0
jonathan eysseric-fr-90,1583,0
carlos poch gradin-sp-82,1582,0
amir weintraub-is-86,1582,0
rameez junaid-au-81,1581,0
jaan frederik brunken-ge-90,1581,0
martin slanar-au-81,1581,0
philippe de bonnevie-fr-85,1581,0
marco crugnola-it-83,1581,0
marek semjan-sl-87,1580,0
rupesh roy-in-89,1580,0
razvan sabau-ro-77,1580,0
jerome haehnel-fr-80,1579,0
james mcgee-ir-87,1579,0
sadik kadir-au-81,1579,0
daniel vallverdu-ve-86,1578,0
martin vacek-cz-81,1578,0
grzegorz panfil-po-88,1578,0
todd paul-un-85,1578,0
cesar ferrer victoria-sp-80,1577,0
holger fischer-ge-80,1577,0
travis rettenmaier-un-83,1577,0
pierrick ysern-fr-84,1576,0
bradley klahn-un-90,1576,0
tigran martirosyan-ar-83,1576,0
izak van der merwe-so-84,1576,0
eric nunez-un-82,1576,0
darko madjarovski-se-83,1576,0
jan stancik-sl-83,1576,0
ivan bjelica-se-84,1575,0
ludovic walter-fr-83,1575,0
hugo armando-un-78,1575,0
rodrigo antonio grilli-br-79,1574,0
travis helgeson-un-85,1574,0
juan pablo guzman-ar-81,1574,0
nicolas reissig-au-89,1573,0
gerard granollers-sp-89,1572,0
luis manuel flores-me-85,1572,0
franz stauder-ge-77,1572,0
ismar gorcic-bo-83,1572,0
colin obrien-ir-84,1571,0
matteo trevisan-it-89,1571,0
armin sandbichler-au-85,1571,0
marcel zimmermann-ge-85,1571,0
konstantinos economidis-gr-77,1571,0
roman jebavy-cz-89,1570,0
emilio gomez-ec-91,1570,0
roman borvanov-mo-82,1570,0
scott lipsky-un-81,1569,0
ranjeet virali murugesan-in-85,1569,0
marius zay-ge-82,1569,0
frantisek cermak-cz-76,1569,0
